judul_film,ringkasan_sinopsis,genre
Yang tidak dibicarakan ketika membicarakan cinta,Di sebuah sekolah menengah bagi para tunanetra di Jakarta Indonesia para siswa sama seperti remaja lainnya: mereka menghadiri kelas mengejar usaha artistik dan jatuh cinta. Yang paling istimewa dari kelompok itu Diana dengan sabar menunggu tanda-tanda kewanitaan dan humor usaha ibunya untuk membentuknya menjadi gadis yang sempurna. Fitri yang cantik tidak memiliki kekurangan perhatian laki-laki dan masuk ke dalam urusan yang penuh gairah dengan tanpa sepengetahuannya seorang punk rock pendengaran yang menyamar sebagai dokter. Sementara Maya buta sejak lahir bercita-cita menjadi aktris dan pemain. Terlepas dari hambatan fisik para siswa menemukan cara untuk berkomunikasi dan berkolaborasi memungkinkan mereka untuk terhubung dengan satu sama lain dan ke dunia luar.,Laga
Cinta Laki-laki Biasa,Nania (Velove Vexia) bertemu Rafli (Deva Mahenra) saat kerja praktik lapangan di perusahaan pengembang perumahan. Rafli menjadi pembimbing mahasiswi arsitektur itu. Rafli tidak memperlakukan Nania secara khusus. Nania harus ikut bekerja kasar bersama buruh bangunan seperti mengaduk semen memplester dinding dan lainnya. Namun karena melakukan pekerjaan-pekerjaan kasar itulah Nania mengenal Rafli lebih jauh begitu juga dengan Rafli.,Laga
Koki-Koki Cilik,Berkisah tentang Bima (Farras Fatik) seorang anak dari keluarga tidak mampu yang berhasil ikut dalam acara Cooking Camp sebuah acara kemping memasak yang sangat bergengsi dan mahal. Dengan segala kekurangannya Bima harus menghadapi tantangan memasak dari Chef Grant (Ringgo Agus Rahman) dan bersaing dengan Audrey (Chloe X) sang juara masak tiga kali berturut-turut di Cooking Camp serta Oliver (Patrick Milligan) anak pemilik restoran ternama yang mendapat dukungan penuh dari kedua sahabatnya Ben (Cole Gribble) dan Jody (Clay Gribble). Beruntung Bima memiliki teman-teman yang memberinya semangat seperti Niki (Clarice Cutie) Melly (Alifa Lubis) Key (Romaria Simbolon) Kevin (Marcello) dan Alva (Ali Fikry). Di tengah perjuangannya Bima bertemu dengan Rama (Morgan Oey) mantan chef terkenal yang mengasingkan diri. Meski awalnya merasa terganggu dengan kehadiran Bima Rama lambat laun menjadi baik dan bersedia mengajarkan Bima memasak.,Laga
Love in Perth,Lola gadis 16 tahun mendapat beasiswa di SMU ternama di Perth Australia. Teman baiknya bernama Beni yang benar-benar naksir padanya berkata padanya bahwa dia menunggu Lola untuk kembali menceritakan perasaannya sejak Lola mengatakan - hanya tiga tahun pergi itu tidak seperti selamanya dan begitu Beni menunggu.,Laga
MasterChef Indonesia,"suatu ajang pencarian bakat yang diadopsi dari MasterChef (Inggris) dengan sponsor dari FremantleMedia yang bekerja sama dengan RCTI. Ajang ini merupakan pencarian bakat memasak. Acara ini pertama kali dimulai pada tahun 2011. Berisi acara yang berhubungan dengan memasak dan mengudara selama 2 jam (120 menit). Dimulai sejak 1 Mei 2011 pada pukul 16.30 sampai dengan 18.30. Eliminasi dilaksanakan setiap hari, Sabtu dan Minggu. Acara ini tayang pada hari Sabtu dan Minggu, sedangkan tayangan ulang (re-run) pada hari Kamis dan Jumat, pukul 15.15 sampai dengan 17.15. MasterChef Indonesia memenangkan Panasonic Gobel Awards untuk kategori Pencarian Bakat Terbaik selama 2 tahun berturut-turut (2012 dan 2013). Sama halnya seperti Indonesian Idol, MasterChef Indonesia mengalami penurunan.",Laga
3: Alif Lam Mim,Film laga futuristik pertama di Indonesia yang menceritakan tentang persahabatan persaudaraan dan drama keluarga. Jakarta 2036 begitu banyak terjadi perubahan. Negara sudah kembali damai dan sejahtera sejak perang saudara dan pembantaian kaum radikal berakhir di Revolusi tahun 2026.,Laga
5 cm,Lima sahabat mencoba mencari tahu apa persahabatan sejati dengan mendaki puncak tertinggi di Jawa,Laga
Badai di Ujung Negeri,Badai adalah marinir yang ditugaskan di pos jaga perbatasan Indonesia di sebuah pulau di Laut Cina Selatan (Pulau Bintan). Penemuan mayat misterius mempertemukannya kembali dengan Joko sahabat lama yang ditugaskan di kapal KRI. Anisa seorang gadis setempat mempertanyakan kepastian hubungannya dengan Badai. Badai ragu untuk membuat keputusan karena dia bisa dipindah tugaskan kapan-pun ke mana-pun. Dika anak nelayan teman Badai ditemukan mati. Kesalahpahaman Joko dan Badai tentang kematian Nugi adik Joko mempengaruhi kerjasama mereka dalam menemukan siapa pembunuh Dika dan mayat-mayat lainnya yang belakangan bermunculan terapung di laut. Badai dan Joko dijebak ke pulau terpencil sementara para pembunuh merencanakan pembajakan sebuah kapal tanker di laut perbatasan memanfaatkan kelemahan konflik di antara mereka dan kondisi kapal KRI yang sudah tua,Laga
Bulan Terbelah di Langit Amerika 2,Ketika Hanum (Acha Septriasa) dan Rangga (Abimana Aryasatya) memutuskan untuk kembali ke Wina setelah menyelesaikan pekerjaan mereka bos Hanum memberi mereka misi baru yang hanya bisa mereka capai: untuk menemukan harta misterius yang ditinggalkan oleh sekelompok pelaut Muslim China yang telah berlayar menuju benua Amerika jauh sebelum Columbus tiba. Karena itu Hanum dan Rangga harus terbang dari New York ke San Francisco. Hanum kemudian meminta Azima Hussein (Rianti Cartwright) untuk membantu mereka karena Azima memiliki sumber untuk menemukan bukti yang diperlukan. Namun mereka tidak menyadari bahwa pemburu harta karun lainnya mengejar imbalan yang sama dan bahaya itu tidak pernah terlalu jauh. Namun di sisi lain Azima dan putrinya Sarah Hussein (Hailey Franco) masih berurusan dengan penolakan ibunya (Ira Wibowo) terhadap keputusannya untuk menjadi seorang Muslim. Dia tidak menyadari ada rahasia di setiap fragmen kehidupan. Sementara itu Stefan (Nino Fernandez) yang berurusan dengan patah hati setelah hubungannya dengan Jasmine hamil (Hannah Al Rashid) memburuk juga menemukan dirinya terjebak di antara dua pilihan sulit. Perjalanan menuju cahaya telah memisahkan mereka sampai mereka menemukan makna perjalanan mereka dalam bentuk mukjizat Tuhan.,Laga
Kejar Amerka,Dua pemuda Indonesia Bayu dan Jimi memenangkan liburan 2 minggu ke San Francisco. Namun begitu mereka tiba American Dream mereka berubah menjadi mimpi buruk.,Laga
Misteri Rumah Tua,"Susanna baru tahu jika ia bukan anak kandung ayah dan ibunya yang sudah merawatnya selama 28 tahun. Ia diadopsi dari panti asuhan di kota Magelang. Setelah menelusuri asal-usulnya, Susanna akhirnya tahu jika ia cucu buyut Peter Van Hoch, seorang Kolonel keturunan Belanda, dan juga tuan tanah kaya raya yang memiliki rumah tua di Desa Klantingan, Magelang. Susanna lalu mendatangi desa keluarganya itu dan tinggal di sana. Di Klantingan, sudah lama beredar rumor yang menyebutkan jika keturunan Peter Van Hoch sering melakukan hubungan sedarah (incest). Konon karena rumor itu lah 28 tahun silam semua anggota keluarga Van Hoch tewas dibantai warga berpakaian ninja. Ibu Susanna yang saat itu sedang akan melahirkan, disembunyikan seorang bidan sampai melahirkan. Namun setelah itu, Maria Beatrix Van Hoch, meninggal dunia karena pendarahan hebat. Bidan yang membantunya lalu melarikan Susanna ke panti asuhan agar tak ditemukan warga. Kembalinya Susanna Van Hoch ke rumah tua Kolonel, membuat beberapa warga Klantingan yang dulu menentang keluarga Van Hoch gempar. Berkali-kali mereka meneror Susanna yang tinggal seorang diri di rumah tuanya, berkali-kali mereka melihat penampakan hantu Kolonel lalu kesurupan massal. Bahkan ada yang tewas gantung diri di pohon beringin depan Rumah Tua Kolonel. Berdasarkan itu semua warga meyakini bahwa keluarga Van Hock menuntut balas atas kematian mereka kepada warga. Muncul seorang pria bernama Bramantyo yang mendekati dan berhasil membuat Susanna jatuh cinta. Usia bahkan tanggal lahir Bramantyo sama persis dengan Susanna. Tak tega sering melihat warga meneror Susanna, Bramantyo akhirnya tinggal serumah dengan Susanna di rumah tua Kolonel. Setelah keduanya berhubungan intim, tiba-tiba saja Bramantyo menghilang tanpa kabar. Susanna kebingungan dan mencarinya sampai ke pelosok Klantingan. Tak seorang pun warga Klantingan yang pernah melihat Susanna bersama Bramantyo. Ia seperti hantu yang datang dan pergi begitu saja. Bahkan menurut mereka, warga Klantingan yang bernama Bramantyo sudah meninggal dunia dua tahun yang lalu. Susanna dihadapkan pada dilema yang sangat rumit. Apakah Bramantyo yang dikenalnya itu manusia asli ataukah hantu? Misteri belum terjawab, Susanna dihadapkan pada kasus baru yaitu kematian bidan tua di ruang tamu rumahnya. Ia tak tahu siapa bidan itu dan maksud kedatangannya , juga siapa yang membunuhnya. Pikiran Susanna kosong, sampai akhirnya ia menemukan album foto keluarga Van Hoch di gudang tua.",Laga
My Journey: Mencari mata Air,Empat orang muda; Chinta Cindy Tasya dan Celine berniat untuk mengisi liburan mereka dengan teman-teman berasal dari New York bernama Lucas yang tertarik dengan lingkungan terutama mata air. Mereka nekat menjelajah alam liar menemukan mata air yang diduga semakin langka karena perkembangan peradaban.,Laga
Pencarian terakhir,Pencarian terakhir mengisahkan tentang gencar yang merupakan adik dari sita dikabarkan hilang saat sedang melakukan pendakian gunung sarangan. Kabar tersebut sita dapatkan dari pos jagawana dari gunung sarangan. Kabarnya gencar dan kawan-kawan pendaki lainnya dikabarkan sudah dua hari tidak memberikan kabar apapun terhadap pos jagawana. Hal tersebut membuat sita mengajak oji untuk segera berangkat ke gunung sarangan untuk mencari adiknya yang hilang tersebut. Selain itu ada bagas yang juga mendengar kabar tentang menghilangnya gencar di gunung sarangan. Karena ingin membantu akhirnya bagas mulai memutar otak untuk mengajak seseorang yang berpengalaman yang pernah mendaki gunung tersebut untuk diajaknya kesana. Dan bagas memiliki satu nama yaitu tito. Tito dikenal sebagai pendaki berpengalaman yang juga pernah mendaki gunung sarangan. Namun ternyata beberapa waktu kebelakang ini tito sudah memutuskan untuk berhenti mendaki gunung. Hal tersebut tidak lepas dari trauma masa lalu yang ia miliki ketika mendaki gunung sarangan. Ketika ia dan sahabatnya yaitu norman mendaki gunung tersebut ternyata mereka berdua menghilang dari rombongan. Hingga kemudian hanya tito-lah yang berhasil ditemukan oleh tim sar sedangkan norman sampai sekarang masih dinyatakan hilang dan belum ditemukan. Hal tersebut ternyata membuat tito sangat terpukul ia merasa begitu bersalah karena membuat norman hilang. Ketika bagas mendatanginya untuk meminta bantuannya untuk mendaki kembali ke gunung sarangan awalnya dengan tegas tito menolak hal tersebut. Karena ia masih belum lepas dari rasa bersalah dan trauma masa lalu yang ia miliki ketika kehilangan norman. Namun kemudian bagas memberikan motivasi kepada tito bahwa ini adalah saat yang tepat untuk menebus rasa bersalahnya dengan menemukan gencar yang hilang di gunung tersebut. Tito sadar dan merasa apa yang dikatakan bagas ada benarnya juga. Mungkin dengan menemukan gencar yang hilang di gunung tersebut maka dapat mengobati rasa bersalahnya. Tito dan bagas akhirnya bergabung dengan tim lain yang khusus untuk menemukan gencar dan kawan-kawannya di gunung tersebut. Pencarian demi pencarian kemudian membawa mereka semua kepada tabir misteri masa lalu yang akhirnya terungkap. Pencarian terakhir adalah sebuah film berjenis thriller.,Laga
Sagarmatha,Shila (Nadine Chandrawinata) dan Kirana (Ranggani Puspandya) bersahabat semenjak duduk di bangku kuliah. Mereka pergi ke Nepal untuk mewujudkan mimpi mendaki pegunungan Himalaya. Lewat India mereka bertualang masuk ke perbatasan Nepal. Sepanjang perjalanan mereka menemukan jawaban atas pertanyaan-pertanyaan seputar hidup dan kematian kedewasaan cinta dan harapan. Hingga akhirnya keduanya menapaki Himalaya satu persatu pertentangan muncul. Shila mulai terganggu dengan Kirana yang semakin ambisius. Kirana pun merasa Shila mulai menyimpan rahasia. Jauh dari tanah air sejengkal lagi meraih mimpi.,Laga
Savage Terror (Primitif) [original title],Tiga siswa Tommy Rita dan Robert dan pemandu mereka menuju ke hutan untuk mempelajari suku-suku primitif yang terpisah dari peradaban. Namun para siswa mengatakan bahwa satu suku yang mereka kunjungi tidak cukup primitif dan mereka ingin menemukan beberapa orang yang benar-benar liar dan untuk menemukan suku kanibal legendaris yang seharusnya tinggal di daerah tersebut. Panduan enggan setuju dan mereka semua segera dipisahkan dalam kecelakaan rakit. Robert dan Rita ditangkap oleh para kanibal dan menahan narapidana sementara Tommy dan pemandu mereka berkeliaran tanpa tujuan di hutan mencari teman mereka yang hilang.,Laga
Tarzan raja rimba,Sejak umur enam tahun Sambo (Barry Prima) hidup di hutan karena orangtuanya mati diterkam harimau. Sambo terlibat dengan masalah penebangan hutan karena muncul masalah pada perusahaan yang ada di dekat tempatnya berdiam. Perusahaan itu diserahkan oleh pemiliknya yang meninggal pada Burhan (Johari Zain) adik angkatnya. Dan ia diwajibkan membiayai sekolah anaknya Karina (Ziela Jalil). Burhan bersekongkol dengan pacarnya Gina (Yurike Prastica). Perusahaan selalu dilaporkan rugi. Keadaan sebenarnya dilaporkan pada salah seorang karyawan yang masih setia. Karina datang. Karyawan yang dicurigai tadi dibunuh. Karina dipaksa untuk menandatangani penyerahan perusahaan pada Burhan tapi berhasil lari masuk hutan dan bersahabat dengan Sambo. Maka Sambo menyelesaikan masalah itu sambil berpesan jangan asal tebang pohon.,Laga
Tengkorak Hidoep,Raden Darmadji dan beberapa kawan pergi ke pulau Mustika. Di dekat tempat tersebut 10 tahun lalu ada kapal yang ditumpangi saudaranya tenggelam. Di pulau itu pula 2000 tahun lalu terkubur Maha Daru setelah bertempur dengan Dewi Gumba. Ketika menyelidiki gua turun hujan lebat dan kuburan Maha Daru terbelah. Sekeluar dari gua Darmadji dikejar orang-orang liar. Rumiati anak perempuannya ditolong Maha Daru karena dianggap reinkarnasi Dewi Gumba. Padahal Maha Daru punya maksud jahat terhadap Rumiati. Untung ada seorang pemuda yang hidup di hutan datang menolong. Sang pemuda dan Rumiati saling jatuh cinta.,Laga
Wiro Sableng 212,Indonesia abad ke-16 Wiro Sableng seorang pemuda seorang mahasiswa dari seorang pejuang misterius bernama Sinto Gendeng menerima pesan dari gurunya untuk menangkap Mahesa Birawa seorang mantan mahasiswa Sinto Gendeng yang dikhianati.,Laga
Time Game,Permainan yang dimainkan oleh banyak orang dengan waktu yang tidak terduga,Laga
Bulan terbit di atas Mesir,Pada tahun 1947 misi diplomatik pertama Indonesia tiba di Kairo tanpa paspor untuk mendapatkan pengakuan atas kedaulatan Indonesia. Mereka mengalami serangkaian penanganan yang menempatkan nasib Mesir dan Indonesia di tangan pengkhianat.,Laga
Legend of the East,Legend of the East menceritakan kisah tentang Dinasti Ming selama periode konflik paling bersejarah. Meskipun biasa untuk memiliki cerita yang diceritakan dari sudut pandang kerajaan Legend of the East menceritakan kisah ini dari sudut pandang yang menarik yaitu melalui kehidupan seorang pelayan bernama Zheng He. Menjadi pelayan setia Pangeran Dinasti Ming Zheng He membantu pangeran untuk mendapatkan tahta yang sah.,Laga
Lens,Kisah yang meresahkan dari seorang kameramen di awal abad ke-20 yang mencoba untuk memfilmkan suku terpencil di hutan. Melalui sudut pandangnya dan apa yang telah dia rekam kita belajar apa yang telah terjadi padanya.,Laga
Moonrise Over Egypt,Pada tahun 1947 misi diplomatik pertama Indonesia tiba di Kairo tanpa paspor untuk mendapatkan pengakuan atas kedaulatan Indonesia. Mereka mengalami serangkaian penanganan yang menempatkan nasib Mesir dan Indonesia di tangan pengkhianat.,Laga
Harvest Moon Ritual,"Kasepuhan Cisungsang adalah satu dari lima kelompok penduduk asli di Banten Kidul yang menjaga budaya leluhur mereka secara konsisten. Warga Kasepuhan Cisungsang tinggal di kaki Gunung Halimun, Kecamatan Lebak, Provinsi Banten. Populasinya mencapai 2,300 dan mayoritas dari mereka beragama Islam. Film ini menampilkan Harvest Moon Ritual di Kasepuhan Cisungsang yang disebut Seren Taun.",Laga
Perampok Ulung,Perampok yang senang menebar teror dengan menjarah tanaman padi juga mengancam dengan bakteri leptospirosis. Namun demikian Petani pun kadangkala takut karena muncul mitos yaitu tikus itu ada yang “memelihara”. Tukijo salah satu korban dari aksi tikus ini dengan petani lainnya melakukan gerakan pembasmian tikus. Tetapi tikus tetaplah tikus selalu menjadi musuh abadi bagi petani.,Laga
Perempuan punya cerita,Sumantri (Rieke Diah Pitaloka) adalah satu-satunya bidan di sebuah pulau di Kepulauan Seribu). Dirinya yang hanya sempat ke Jakarta sekali-sekali karena kesibukannya di pulau divonis kanker oleh dokter dan harus dirawat di Jakarta supaya sembuh. Dipulau ia merawat seorang perempuan yang mengalami keterbelakangan mental bernama Wulan (Rachel Maryam). Kendati Wulan seperti itu ada sekelompok pria yang mengincar dirinya tetapi selalu dilindungi oleh Sumantri. Pada malam hari Wulan bermain sendiri didekat rumah Sumantri. Kemudian ia diculik dan diperkosa. Sumantri yang melihat Wulan terbaring segera melaporkan kasus ini ke polisi setempat. Namun Sumantri yang dulunya pernah mengaborsi seorang ibu (apabila bayi ibu tersebut tidak diaborsi maka nyawa ibu itu tidak akan selamat) dan tata krama di Pulau itu menyatakan aborsi adalah dosa tidak mendapatkan kepercayaan yang kuat. Rokhim suami Sumantri telah menjual rumah mereka karena akan segera pindah ke Jakarta. Sumantripun dengan berat hati membereskan barang-barang. Rokhim yang membawa barang-barang ke pelabuhan mendengar diskusi para pemerkosa Wulan Rokhim naik pitam dan meghajar mereka semua. Rokhim tidak menerima kenyataan bahwa pangkat ayah sang pemerkosa yang tinggi membuat semua lapisan pihak yang berwenang menyarankan Rokhim untuk berdamai saja. Dan akhirnya terpaksalah begitu. Sumantri harus menerima kenyataan ini dan pergi meninggalkan Wulan yang menangisi kepergiannya di dermaga.,Laga
Pulang,Pemuda desa Tamin (Turino Djunaedi) termasuk yang terbujuk oleh propaganda Jepang jadi heiho. Ia ikut ke Birma (Myanmar) di masa perang dunia kedua itu sebagai anggota Palang Merah. Waktu Jepang runtuh (1945) Tamin dan kawan-kawan dibawa ke Jawa untuk diserahkan kepada Belanda yang coba menjajah kembali Indonesia. Tamin dipaksa masuk tentara Belanda (KNIL) untuk memerangi bangsa sendiri. Setelah Indonesia berdaulat penuh (1950) Tamin memilih pulang ke desa. Hatinya tak bisa tenteram karena sindiran teman-temannya bahwa ia tak pernah berjuang untuk RI. Pergilah Tamin ke kota. Di kota ketemu temannya sesama bekas heiho yang masuk TNI. Tamin disadarkan oleh temannya itu bahwa masih bisa berbuat untuk tanah air mengisi kemerdekaan di bidang masing-masing. Pulanglah Tamin ke rumah ke desa dan... tanah airnya.,Laga
Queen Bee,Queenita Siregar (Tika Putri) gadis 17 tahun yang smart stylish dan independent. Hidupnya berjalan biasa seperti remaja kebanyakan hingga ketika hidupnya berubah menjadi lebih rumit saat ayahnya Rachmat Siregar (Mathias Muchus) terpilih sebagai salah satu calon presiden. Keberadaan aparat pengamanan sesuai protokoler pengawalan keluarga calon presiden semakin membuat hidup Queen terkekang. Ditambah lagi dengan ketidaksukaan Queen pada salah satu aparat baru (Oka Antara) yang mempersulit hubungan Queen dengan pemuda yang disukainya (Reza Rahadian). Padahal keinginan Queen sebenarnya sederhana. Ia hanya ingin Ayahnya memperlakukannya sebagai seorang gadis yang sudah cukup dewasa untuk menentukan sikap. Sementara Ayahnya masih menganggap Queen seorang gadis kecil yang belum bisa cukup dipercaya sehingga ia merasa Queen cukup diberikan fasilitas saja dulu.,Laga
Radit & Jani,“radit dan jani” bercerita tentang sepasang kekasih yaitu radit (vino g. Bastian) dan jani (fahrani). Cinta seakan telah membutakan dua sejoli tersebut. Di usia mereka yang masih sangat muda dan belum memiliki pekerjaan yang tetap mereka berdua memutuskan untuk menikah. Sesuatu yang tentunya ditentang oleh orang tua jani. Apalagi melihat karakter radit yang merupakan anak brandal dan tidak memiliki masa depan. Sehingga orang tua jani tidak pernah memberikan restu terhadap hubungan putrinya dengan radit.,Laga
Sekala Niskala,Seorang gadis muda mencari cara-cara imajinatif untuk mengatasi kematian saudara kembarnya.,Laga
Sepuluh,Film yang mengangkat perjuangan hidup anak jalanan dan juga pergulatan antara kasih sayang undang-undang kemanusiaan dan realita kehidupan.,Laga
Serendipity,Kehidupan Rani berubah drastis setelah ayahnya meninggal meninggalkan sejumlah besar utang. Dia membuat keputusan tersulit dalam hidupnya untuk menjadi pengawal wanita. Arkan pacarnya memutuskan hubungan mereka setelah mengetahui tentang pekerjaannya merasa tertipu. Kemudian foto dirinya yang dibuat dengan seorang lelaki tua menjadi viral membuatnya menjadi subjek intimidasi sekolah. Jean temannya menjadi jauh. Gibran seorang siswa baru di sekolah mendapatkan minatnya terusik di Rani setelah diabaikan beberapa kali olehnya. Setelah tertangkap menangis Rani berteman dengannya. Dia selalu menemukan cara untuk membantu Rani dan menyukainya. Namun perasaan itu tidak saling menguntungkan karena dia masih menyukai mantan pacarnya. Meskipun Arkan masih mencintainya mereka tidak bisa kembali bersama. Hubungan mereka terjalin dengan masalah keluarga.,Laga
Si Doel the Movie,Doel melakukan perjalanan ke Belanda untuk bersatu kembali dengan seorang wanita yang meninggalkannya 14 tahun yang lalu.,Laga
Terjebak Nostalgia,Raisa mengejar mimpinya dengan kekasihnya di Sora ke New York. Kehadiran Reza yang menemaninya selama waktunya di New York membawanya ke situasi yang rumit.,Laga
The Butterfly,Vano (Andhika Pratama) Tia (Poppy Sovia) dan Desi (Debby Kristy) telah bertemu dan menjadi teman baik sejak awal kuliah. Tia yang laki-laki menjadi benar-benar protektif terhadap Desi yang berasal dari keluarga berantakan dan menderita leukemia. Vano selalu di samping mereka berdua tapi dia jatuh cinta pada Desi. Sementara itu Desi tahu bahwa Tia sangat mencintai Vano. Desi dan Tia membuat kesepakatan untuk membuat Vano menjadi hanya teman mereka. Suatu hari Desi meminta mereka untuk melakukan perjalanan. Di tengah argumen mereka dan kambuhnya penyakit Desi selama perjalanan akhirnya terungkap niat pengaturan perjalanan Desi.,Laga
The Sexy City,Poppy nekad datang ke Jakarta untuk mengejar cita-citanya. Namun ia kaget saat mengetahui betapa keras hidup di Jakarta hingga ia melamar kerja di sebuah bar milik Om Reno. Beruntung Poppy bertemu dengan Stella yang memberinya tumpangan kos dan mengajarinya cara menjaga diri bekerja di dunia malam. Suatu ketika Poppy bertemu dengan Nanda sahabatnya sewaktu SMP dulu. Namun Nanda kini sudah berubah menjadi seorang junkis putaw karena pengaruh buruk pacarnya Vino. Poppy berusaha menyadarkan Nanda dari jerat narkoba namun Nanda lebih mempercayai Vino daripada Poppy. Bahkan Nanda rela Vino menjualnya di pinggir jalan guna mendapatkan uang buat beli barang/putaw. Suatu ketika Stella diminta untuk menari striptis di sebuah acara private party. Ternyata itu semua cuma tipuan. Stella sengaja dibooking oleh ibunya sendiri Prita dan beberapa rekan main kartunya yang dihutangi banyak oleh Prita untuk dijual ke luar negeri. Kecuali Stella bisa mendapatkan uang 50 juta untuk bayar hutang ibunya. Setlla Poppy dan Nanda menjual semua barang berharga milik mereka namun belum juga cukup. Apalagi Nanda kadang masih suka menggunakan narkoba justru menghabiskan uang yang sudah ada. Di tengah-tengah keputus-asaan Poppy muncul Bono (sahabat baik Poppy sewaktu SMA) yang menawarkan Poppy agar menjual keperawanannya. Disaat yang bersamaan Satrio tunangan Poppy juga datang dari kampung untuk mencari Poppy di Jakarta.,Laga
Toba Dreams,Film ini berlatar belakang tentang kisah cinta yang terlalu mencintai. Cinta yang kadang tersesat dalam menemukan kebenaran. Seperti Sersan Mayor Tebe yang mendidik anak-anaknya layaknya pasukan tempur karena cintanya yang luar biasa kepada mereka. Maka ketika Ronggur anak sulungnya menjadi pemberontak dalam keluarga terjadilah konflik mendalam antara ayah dan anak. Ronggur yang sesungguhnya mewarisi tabiat keras ayahnya menemukan cinta dalam diri Andini seorang wanita Jawa yg berbeda agama. Film ini adalah tentang mimpi Sersan Mayor Tebe yang ingin hidup dengan tenang dan damai mengandalkan uang pensiunan tentara dan memilih pulang untuk membangun kampung halamannya. Tapi Ronggur menolak ia ingin membuktikan bahwa selama ini ayahnya salah memilih jalan hidup. Dengan penuh siasat Ronggur menjelma menjadi pentolan mafia narkoba dan merebut Andini dari orangtuanya yang tak merestui hubungan mereka. Apakah pada akhirnya setiap anak manusia sanggup menggapai mimpi dan merenangi takdirnya dengan bahagia? Di antara gemerlapnya Jakarta dan ketenangan Danau Toba. Sersan tebe Ronggur dan Andini merajut drama perjalanan mereka. Di Danau Toba jualah Mimpi dan Cinta mereka bermula.,Laga
Kafedo,"Suatu ketika di masa revolusi fisik, sekelompok pemuda pimpinan Harun (Del Juzar) menembus patroli AL Belanda, dan mendarat di pulau Mentawai. Tugas khususnya adalah menangkap Kafedo (Rd. Sukarno), yang dituduh bekerja sama dengan musuh. Sebelum itu, Harun terlibat asmara dengan Hiya (Tina Melinda). Kesulitan timbul karena Baiha (Udjang) menyetujui pinangan Kafedo atas putrinya, Hiya. Ketika pasukan Belanda mendarat di pulau itu terlihatlah bahwa Kafedo sebenarnya seorang yang berjiwa republik. Karenanya Harun merelakan Hiya untuk Kafedo.",Laga
Tjambuk api,"Ujung (permainan saling pukul dengan cambuk) merupakan suatu tradisi di suatu desa di Jawa Timur. Tapi, cambuk itu jadi alat teror bagi Suro (Rendra Karno) untuk menguasai desa. Karena ditinggal ayahnya, yang mati dalam pertarungan ujung, Kasan (Bambang Irawan) dianjurkan ibunya agar menjadi petani saja. Usaha Kasan menyuburkan tanah dianggap tantangan oleh Suro, karena Kasan berhasil meyakinkan penduduk desa lain. Mereka bahkan berhasil membuat kincir untuk mengalirkan air pada tanah mereka yang tandus. Ada masalah lain muncul, Marni (Aminah Cendrakasih) yang mencintai dan dicintai Kasan, tidak disetujui ayahnya, Suro. Marni dijodohkan dengan Karnen (Sukarno M. Noor), anak buah Suro. Setelah disiksa Karnen barulah Kasan belajar main ujung. Yang bikin Suro berang adalah perginya Marni ke rumah Kasan, tetapi ternyata diculik pendekar lain. Setelah bebas, Marni tak mau pulang. Maka Kasan menantang duel Suro, dan dimenangkan Kasan. Suro dibujuk Marni agar menyerah, supaya tidak mati. Maka seluruh desa menjadi damai dan bertani.",Laga
Matjan Berbisik,"Setelah menyerahkan uang dan menitipkan anaknya Hamid, 4 th, kepada Sanip (Said), Djaja (Bissu) tak pernah muncul. Sanip sendiri punya anak, Usman (6 th). Setelah kedua anak itu dewasa, Usman merasa iri, karena Zainab (Hadidjah) memilih Hamid (Moh. Mochtar). Berbagai usaha yang dilakukan Usman untuk menyingkirkan Hamid, selalu mengalami kegagalan. Sekali waktu Hamid jatuh ke jurang karena keroyokan teman-teman Usman. Hamid dianggap sudah meninggal. Sementara itu Sanip mau menyerakahi uang titipan Djaja, dan Usman yang gagal menggagahi Zainab karena datangnya sosok misterius, mencoba menikahi Zainab secara resmi. Di hari pernikahan sosok misterius datang lagi dan menyaru sebagai Usman. Ketika ijab kabul selsai dilaksanakan, Usman asli datang dan hendak mengeroyok pengantin baru itu tapi digagalkan oleh penghulu. Sanip dan keluarganya lalu memburu pengantin itu.",Laga
